timepoint,colony_id,frag_id,treatment,colormorph,protein_density
07/07/17,B6,65,Shade,Red,216.772662
07/07/17,B6,65,Shade,Red,219.855288
07/07/17,O7,57,Control,Orange,163.24023
07/07/17,O7,57,Control,Orange,126.211125
07/07/17,O7,57,Control,Orange,166.6236
07/07/17,O7,103,Deep,Orange,140.872395
07/07/17,O7,103,Deep,Orange,139.857384
07/07/17,O7,103,Deep,Orange,163.353009
07/07/17,O7,20,Shallow,Orange,205.870692
07/07/17,O7,20,Shallow,Orange,217.787673
07/07/17,O7,20,Shallow,Orange,182.224695
07/07/17,O7,290,Shade,Orange,205.72032
07/07/17,O7,290,Shade,Orange,217.223778
07/07/17,O7,290,Shade,Orange,224.216076
07/07/17,O8,680,Control,Orange,196.246884
07/07/17,O8,680,Control,Orange,189.856074
07/07/17,O8,680,Control,Orange,203.690298
07/07/17,O8,10,Deep,Orange,227.373888
07/07/17,O8,10,Deep,Orange,244.253145
07/07/17,O8,10,Deep,Orange,257.260323
07/07/17,O8,163,Shallow,Orange,254.290476
07/07/17,O8,163,Shallow,Orange,274.51551
07/07/17,O8,163,Shallow,Orange,268.275072
07/07/17,O8,58,Shade,Orange,210.043515
07/07/17,O8,58,Shade,Orange,222.073275
07/07/17,O8,58,Shade,Orange,223.125879
07/07/17,O9,16,Control,Orange,260.83002
07/07/17,O9,16,Control,Orange,247.034975
07/07/17,O9,16,Control,Orange,318.34682
07/07/17,O9,95,Deep,Orange,359.68702
07/07/17,O9,95,Deep,Orange,391.905415
07/07/17,O9,95,Deep,Orange,358.69845
07/07/17,O9,281,Shallow,Orange,413.474215
07/07/17,O9,281,Shallow,Orange,430.908995
07/07/17,O9,281,Shallow,Orange,438.727685
07/07/17,O9,53,Shade,Orange,584.09241
07/07/17,O9,53,Shade,Orange,567.01711
07/07/17,O9,53,Shade,Orange,462.183755
07/07/17,O10,855,Control,Orange,546.25714
07/07/17,O10,855,Control,Orange,535.83222
07/07/17,O10,855,Control,Orange,531.51846
07/07/17,O10,153,Deep,Orange,456.342205
07/07/17,O10,153,Deep,Orange,443.53573
07/07/17,O10,153,Deep,Orange,495.92994
07/07/17,O10,136,Shallow,Orange,398.87034
07/07/17,O10,136,Shallow,Orange,337.534065
07/07/17,O10,136,Shallow,Orange,409.609805
07/07/17,O10,287,Shade,Orange,553.267
07/07/17,O10,287,Shade,Orange,590.38331
07/07/17,O10,287,Shade,Orange,571.87009
07/07/17,O11,93,Control,Orange,218.225381
07/07/17,O11,93,Control,Orange,222.934813
07/07/17,O11,93,Control,Orange,242.81405
07/07/17,O11,720,Deep,Orange,303.49327
07/07/17,O11,720,Deep,Orange,310.512135
07/07/17,O11,720,Deep,Orange,308.293268
07/07/17,O11,101,Shallow,Orange,291.221577
